name,state_code,ranking
Princeton University,NJ,1
Harvard University,MA,2
Columbia University,NY,3
Massachusetts Institute of Technology,MA,4
Yale University,CT,4
University of Chicago,IL,6
Stanford University,CA,6
University of Pennsylvania,PA,8
Johns Hopkins University,MD,9
Northwestern University,IL,9
California Institute of Technology,CA,9
Duke University,NC,12
Dartmouth College,NH,13
Brown University,RI,14
Vanderbilt University,TN,14
Rice University,TX,16
Washington University in St. Lou,MO,16
Cornell University,NY,18
University of Notre Dame,IN,19
University of California at Los Angeles,CA,20
Emory University,GA,21
University of California at Berkeley,CA,22
Georgetown College,DC,23
University of Southern California,CA,24
University of Michigan at Ann Arbor,MI,24
Carnegie Mellon University,PA,26
University of Virginia,VA,26
Wake Forest University,NC,28
University of North Carolina-Chapel Hill,NC,28
Tufts University,MA,30
New York University,NY,30
University of California-Santa Barbara,CA,30
University of Florida,FL,30
University of Rochester,NY,34
University of California-Irvine,CA,35
Georgia Institute of Technology,GA,35
Boston College,MA,35
University of California-San Diego,CA,35
College of William and Mary,VA,39
University of California-Davis,CA,39
Tulane University,LA,41
Brandeis University,MA,42
Boston University,MA,42
Case Western Reserve University,OH,42
University of Texas-Austin,TX,42
University of Wisconsin-Madison,WI,42
University of Georgia,GA,47
University of Illinois-Urbana-Champaign,IL,47
Northeastern University,MA,49
Pepperdine University,CA,49
Lehigh University,PA,49
University of Miami,FL,49