Country,Region,Population,HDI,GDP,Cropland,Grazing,Forest,Carbon,Fish,Total,EarthsRequired,CountriesRequired,DataQuality
Afghanistan,Middle East/Central Asia,29.82,0.46,614.66,0.3,0.2,0.08,0.18,0,0.79,0.46,1.6,6
Albania,Northern/Eastern Europe,3.16,0.73,4534.37,0.78,0.22,0.25,0.87,0.02,2.21,1.27,1.87,6
Algeria,Africa,38.48,0.73,5430.57,0.6,0.16,0.17,1.14,0.01,2.12,1.22,3.61,5
Angola,Africa,20.82,0.52,4665.91,0.33,0.15,0.12,0.2,0.09,0.93,0.54,0.37,6
Antigua and Barbuda,Latin America,0.09,0.78,13205.1,,,,,,5.38,3.11,5.7,2
Argentina,Latin America,41.09,0.83,13540,0.78,0.79,0.29,1.08,0.1,3.14,1.82,0.45,6
Armenia,Middle East/Central Asia,2.97,0.73,3426.39,0.74,0.18,0.34,0.89,0.01,2.23,1.29,2.52,3B
Aruba,Latin America,0.1,,,,,,,,11.88,6.86,20.69,2
Australia,Asia-Pacific,23.05,0.93,66604.2,2.68,0.63,0.89,4.85,0.11,9.31,5.37,0.56,5
Austria,European Union,8.46,0.88,51274.1,0.82,0.27,0.63,4.14,0.06,6.06,3.5,1.98,5
Azerbaijan,Middle East/Central Asia,9.31,0.75,7106.04,0.66,0.22,0.11,1.25,0.01,2.31,1.33,2.72,6
Bahamas,Latin America,0.37,0.78,22647.3,0.97,1.05,0.19,4.46,0.14,6.84,3.95,0.72,3L
Bahrain,Middle East/Central Asia,1.32,0.82,24299,0.52,0.45,0.16,6.19,0.07,7.49,4.33,12.96,3L
Bangladesh,Asia-Pacific,154.7,0.56,857.5,0.29,0,0.08,0.26,0.02,0.72,0.42,1.92,6
Barbados,Latin America,0.28,0.79,15722.8,0.56,0.24,0.14,3.28,0.22,4.48,2.58,23.79,5
Belarus,Northern/Eastern Europe,9.4,0.8,6300.45,1.32,0.12,0.91,2.57,0.08,5.09,2.94,1.4,6
Belgium,European Union,11.06,0.89,48053.3,1.15,0.48,0.99,4.43,0.12,7.44,4.3,6.27,6
Benin,Africa,10.05,0.48,746.83,0.49,0.04,0.26,0.51,0.08,1.41,0.81,1.61,6
Bermuda,North America,0.06,,70626.3,,,,,,5.77,3.33,44.05,3T
Bhutan,Asia-Pacific,0.74,0.59,2395,0.5,0.42,3.03,0.63,0.02,4.84,2.8,0.92,3B
Bolivia,Latin America,10.5,0.65,2253.09,0.37,1.69,0.17,0.67,0.01,2.96,1.71,0.18,5
Bosnia and Herzegovina,Northern/Eastern Europe,3.83,0.73,4708.85,0.63,0.27,0.44,1.74,0.02,3.12,1.8,1.91,5
Botswana,Africa,2,0.69,7743.5,0.3,0.89,0.24,2.36,0.01,3.83,2.21,1.1,3B
Brazil,Latin America,198.66,0.75,13237.6,0.62,0.85,0.6,0.91,0.04,3.11,1.8,0.34,5
British Virgin Islands,Latin America,0.03,,,,,,,,2.86,1.65,1.4,3T
Brunei Darussalam,Asia-Pacific,0.41,0.85,47097.4,0.31,0.13,0.26,3.24,0.09,4.06,2.34,1.41,3L
Bulgaria,European Union,7.28,0.78,7615.28,0.6,0.13,0.35,2.08,0.03,3.32,1.92,1.16,5
Burkina Faso,Africa,16.46,0.39,671.07,0.47,0.17,0.36,0.12,0.03,1.21,0.7,1.23,5
Burundi,Africa,9.85,0.39,276.69,0.21,0.07,0.45,0.04,0,0.8,0.46,2.48,4
Cabo Verde,Africa,0.49,0.64,3801.45,,,,,,2.52,1.46,4.06,3T
Cambodia,Asia-Pacific,14.86,0.55,877.64,,,,,,1.21,0.7,1.11,3T
Cameroon,Africa,21.7,0.5,1271.21,0.54,0.1,0.21,0.19,0.08,1.17,0.68,0.69,6
Canada,North America,34.84,0.91,52145.4,1.46,0.33,1.2,5,0.12,8.17,4.72,0.51,5
Cayman Islands,Latin America,0.06,,,0.36,0.45,1.23,3.56,0.05,5.65,3.26,17.91,3L
Central African Republic,Africa,4.53,0.37,495.04,0.3,0.55,0.26,0.08,0.02,1.24,0.72,0.16,6
Chad,Africa,12.45,0.39,1161.22,0.36,0.75,0.27,0.01,0.01,1.46,0.84,0.72,6
Chile,Latin America,17.46,0.83,14525.8,0.61,0.33,0.99,2.04,0.25,4.36,2.52,1.2,6
China,Asia-Pacific,1408.04,0.72,5560.94,0.55,0.13,0.19,2.32,0.08,3.38,1.95,3.59,6
Colombia,Latin America,47.7,0.72,7305.22,0.35,0.58,0.16,0.67,0.03,1.87,1.08,0.52,6
Comoros,Africa,0.72,0.5,860.24,0.33,0.03,0.18,0.25,0.25,1.03,0.59,3.17,3B
Congo,Africa,4.34,0.57,1943.69,0.22,0.09,0.38,0.47,0.1,1.29,0.74,0.12,5
"Congo, Democratic Republic of",Africa,65.7,0.42,338.63,0.15,0.01,0.51,0.07,0.01,0.82,0.47,0.27,6
Costa Rica,Latin America,4.8,0.76,8979.96,0.4,0.21,0.68,1.37,0.08,2.84,1.64,1.86,5
Côte d'Ivoire,Africa,19.84,,1016.83,0.51,0.06,0.22,0.26,0.14,1.27,0.74,0.72,6
Croatia,Northern/Eastern Europe,4.31,0.82,14522.8,0.74,0.13,0.72,2.21,0.06,3.92,2.27,1.4,6
Cuba,Latin America,11.27,0.77,5175.94,0.48,0.11,0.09,1.23,0.02,1.95,1.13,2.56,6
Cyprus,European Union,1.13,0.85,31454.7,0.77,0.08,0.23,2.94,0.14,4.21,2.43,12.35,5
Czech Republic,European Union,10.66,0.87,21676.3,0.62,0.24,0.74,3.42,0.03,5.19,3,2.11,5
Denmark,European Union,5.6,0.92,61413.6,1.18,0.47,0.77,2.6,0.24,5.51,3.18,1.15,5
Djibouti,Africa,0.86,0.46,1433.17,,,,,,2.19,1.27,2.84,2
Dominica,Latin America,0.07,0.72,7088.01,0.64,0.15,0.14,1.47,0.17,2.57,1.49,2.49,5
Dominican Republic,Latin America,10.28,0.71,6085.89,0.35,0.12,0.12,0.86,0.04,1.53,0.88,2.74,6
Ecuador,Latin America,15.49,0.73,5192.88,0.3,0.3,0.24,1.08,0.18,2.17,1.25,0.99,5
Egypt,Africa,80.72,0.69,2930.33,0.68,0.08,0.17,1.02,0.04,2.15,1.24,3.86,5
El Salvador,Latin America,6.3,0.66,3696.33,0.44,0.21,0.4,0.84,0.14,2.07,1.2,3.37,5
Equatorial Guinea,Africa,0.74,0.58,24064,0.27,0.02,0.26,3.17,0.22,3.97,2.29,0.9,3L
Eritrea,Africa,6.13,0.39,439.73,0.1,0.18,0.06,0.03,0.01,0.42,0.24,0.32,5
Estonia,European Union,1.29,0.85,17304.4,,,,,,6.86,3.96,0.65,3T
Ethiopia,Africa,91.73,0.43,379.38,0.31,0.12,0.46,0.07,0,1.02,0.59,1.75,6
Fiji,Asia-Pacific,0.88,0.72,4201.37,0.55,0.2,0.42,1.06,0.62,2.9,1.67,1.22,5
Finland,European Union,5.41,0.88,50960.2,,,,,,5.87,3.39,0.44,3T
France,European Union,63.98,0.89,45430.3,1.23,0.27,0.53,2.71,0.19,5.14,2.97,1.66,6
French Guiana,Latin America,0.24,,,0.07,0.06,0.46,1.58,0.17,2.34,1.35,0.02,3L
French Polynesia,Asia-Pacific,0.27,,,0.75,0.65,0.12,2.39,0.82,4.73,2.73,3.45,5
Gabon,Africa,1.63,0.67,11989,0.53,0.13,0.79,0.43,0.11,2.02,1.16,0.08,3L
Gambia,Africa,1.79,0.44,505.76,0.46,0.05,0.2,0.21,0.08,1.03,0.6,1.25,5
Georgia,Middle East/Central Asia,4.36,0.75,3710.7,0.39,0.2,0.1,0.83,0.02,1.58,0.91,1.35,3B
Germany,European Union,82.8,0.91,46822.4,1.1,0.14,0.48,3.28,0.05,5.3,3.06,2.33,5
Ghana,Africa,25.37,0.57,1627.9,0.56,0.07,0.65,0.43,0.19,1.97,1.14,1.46,6
Greece,European Union,11.12,0.86,25987.4,1.07,0.35,0.24,2.58,0.08,4.38,2.53,2.73,5
Grenada,Latin America,0.1,0.74,7410.48,,,,,,2.98,1.72,1.52,3L
Guadeloupe,Latin America,0.46,,,0.11,0.03,0.16,2.61,0.31,3.23,1.86,7.14,5
Guatemala,Latin America,15.08,0.62,3233.8,0.37,0.16,0.58,0.7,0.01,1.89,1.09,1.91,5
Guinea,Africa,11.45,0.41,459.09,0.39,0.32,0.45,0.16,0.05,1.41,0.81,0.67,5
Guinea-Bissau,Africa,1.66,0.42,681.25,0.35,0.36,0.67,0.09,0.01,1.53,0.89,0.51,6
Guyana,Latin America,0.8,0.63,3269.46,0.7,0.22,0.77,1.25,0.06,3.07,1.77,0.05,5
Haiti,Latin America,10.17,0.48,749.13,0.27,0.04,0.1,0.15,0.01,0.61,0.35,2.28,6
Honduras,Latin America,7.94,0.61,2269.51,0.28,0.25,0.5,0.6,0,1.68,0.97,0.95,3B
Hungary,European Union,9.98,0.82,13964.2,0.42,0.08,0.36,1.9,0.02,2.92,1.69,1.34,5
India,Asia-Pacific,1236.69,0.6,1513.85,0.34,0.01,0.14,0.61,0.02,1.16,0.67,2.55,6
Indonesia,Asia-Pacific,246.86,0.68,3688.53,0.44,0.03,0.2,0.64,0.21,1.58,0.91,1.25,6
"Iran, Islamic Republic of",Middle East/Central Asia,76.42,0.76,7511.1,0.69,0.09,0.07,1.72,0.12,2.79,1.61,3.1,3B
Iraq,Middle East/Central Asia,32.78,0.65,5848.54,0.43,0.03,0.01,1.36,0.01,1.88,1.09,6.58,3B
Ireland,European Union,4.58,0.91,52853.6,1.08,0.49,0.46,3.22,0.18,5.57,3.21,1.49,5
Israel,Middle East/Central Asia,7.64,0.89,33718.9,0.89,0.22,0.36,4.59,0.07,6.22,3.59,17.59,6
Italy,European Union,60.92,0.87,38412,0.91,0.32,0.42,2.77,0.12,4.61,2.66,4.28,6
Jamaica,Latin America,2.77,0.72,5226.3,0.41,0.09,0.18,1.09,0.07,1.89,1.09,4.39,3B
Japan,Asia-Pacific,127.25,0.89,46201.6,0.53,0.1,0.27,3.69,0.33,5.02,2.9,7.01,6
Jordan,Middle East/Central Asia,7.01,0.75,4615.17,0.54,0.18,0.17,1.09,0.03,2.1,1.21,9.91,5
Kazakhstan,Middle East/Central Asia,16.27,0.78,11278,0.58,0.19,0.12,4.59,0.03,5.55,3.2,1.63,3L
Kenya,Africa,43.18,0.54,1062.11,0.25,0.23,0.27,0.2,0.05,1.03,0.6,2.02,5
"Korea, Democratic People's Republic of",Asia-Pacific,24.76,,,0.28,0,0.14,0.68,0.02,1.17,0.67,1.94,6
"Korea, Republic of",Asia-Pacific,49,0.89,24155.8,0.71,0.12,0.21,4.17,0.41,5.69,3.29,8.36,5
Kuwait,Middle East/Central Asia,3.25,0.82,41830.5,0.55,0.24,0.21,6.89,0.09,8.13,4.7,14.68,3L
Kyrgyzstan,Middle East/Central Asia,5.47,0.65,1116.37,0.59,0.18,0.09,0.95,0.01,1.91,1.1,1.47,3B
Lao People's Democratic Republic,Asia-Pacific,6.65,0.56,1236.24,0.57,0.08,0.36,0.09,0.01,1.22,0.7,0.75,6
Latvia,European Union,2.06,0.81,13732,2.28,0.09,2.02,1.66,0.11,6.29,3.63,0.66,5
Lebanon,Middle East/Central Asia,4.65,0.76,9143.86,0.67,0.3,0.25,2.52,0.05,3.84,2.22,11.7,6
Lesotho,Africa,2.05,0.48,1338.42,0.22,0.49,0.42,0.51,0,1.66,0.96,2.11,3B
Liberia,Africa,4.19,0.42,397.38,0.23,0.03,0.75,0.14,0.03,1.21,0.7,0.47,3B
Libyan Arab Jamahiriya,Africa,6.16,0.74,5859.43,0.79,0.32,0.14,2.33,0.1,3.69,2.13,5.3,3B
Lithuania,European Union,3.03,0.83,14373.7,1.89,0.21,1.28,2.15,0.16,5.83,3.37,1.03,5
Luxembourg,European Union,0.52,0.89,114665,1.1,0.76,1.03,12.65,0.13,15.82,9.14,9.44,5
Macedonia TFYR,Northern/Eastern Europe,2.11,0.74,5174.89,0.62,0.21,0.31,2.06,0.03,3.26,1.88,2.16,6
Madagascar,Africa,22.29,0.51,456.33,0.27,0.34,0.24,0.07,0.02,0.99,0.57,0.38,6
Malawi,Africa,15.91,0.43,493.84,0.43,0.05,0.2,0.07,0.01,0.81,0.47,1.22,5
Malaysia,Asia-Pacific,29.24,0.77,10252.6,0.67,0.12,0.38,2.1,0.36,3.71,2.14,1.54,3B
Mali,Africa,14.85,0.41,741.22,0.52,0.66,0.17,0.1,0.03,1.53,0.88,0.97,6
Martinique,Latin America,0.4,,,0.13,0.02,0.12,1.73,0.04,2.08,1.2,5.41,3B
Mauritania,Africa,3.8,0.5,1524.39,0.39,1.2,0.21,0.55,0.15,2.54,1.47,0.57,3B
Mauritius,Africa,1.24,0.77,8811.15,0.52,0.22,0.18,1.99,0.55,3.46,2,4.89,5
Mexico,Latin America,120.85,0.75,10123.9,0.55,0.24,0.25,1.74,0.06,2.89,1.67,2.27,5
Moldova,Northern/Eastern Europe,3.51,0.68,1971.03,0.43,0.08,0.15,1.03,0.06,1.78,1.03,2.23,5
Mongolia,Asia-Pacific,2.8,0.71,3736.07,0.29,3.47,0.17,2.09,0,6.08,3.51,0.39,3B
Montenegro,Northern/Eastern Europe,0.62,0.8,7251.6,0.64,0.33,0.62,2.13,0.05,3.78,2.19,1.17,5
Montserrat,Latin America,0,,,,,,,,7.78,4.49,5.71,2
Morocco,Africa,32.52,0.62,3149.43,0.6,0.17,0.14,0.67,0.06,1.68,0.97,2.35,5
Mozambique,Africa,25.2,0.41,538.82,0.31,0.03,0.29,0.17,0.03,0.87,0.5,0.42,5
Myanmar,Asia-Pacific,52.8,0.53,1117.58,0.8,0.01,0.32,0.09,0.1,1.43,0.83,0.78,6
Namibia,Africa,2.26,0.62,5880.8,0.33,0.23,0.17,1.02,0.72,2.48,1.43,0.36,3L
Nauru,Asia-Pacific,0.01,,,,,,,,2.94,1.7,15.83,2
Nepal,Asia-Pacific,27.47,0.54,700.07,0.43,0.07,0.21,0.16,0,0.98,0.56,1.65,6
Netherlands,European Union,16.71,0.92,53589.9,0.76,0.58,0.38,3.23,0.16,5.28,3.05,4.53,6
New Caledonia,Asia-Pacific,0.25,,,0.68,0.62,0.18,1.78,0.32,3.58,2.07,0.47,3L
New Zealand,Asia-Pacific,4.46,0.91,37488.3,0.63,0.23,1.08,2.84,0.7,5.6,3.23,0.55,3B
Nicaragua,Latin America,5.99,0.63,1626.85,0.34,0.12,0.42,0.45,0.03,1.39,0.8,0.62,5
Niger,Africa,17.16,0.34,410.91,0.67,0.48,0.26,0.1,0.02,1.56,0.9,1.26,5
Nigeria,Africa,168.83,0.5,2612.12,0.53,0.1,0.19,0.21,0.08,1.16,0.67,1.67,5
Norway,Northern/Eastern Europe,4.99,0.94,100172,,,,,,4.98,2.88,0.61,4
Oman,Middle East/Central Asia,3.31,0.79,22622.8,0.57,0.4,0.15,5.8,0.4,7.52,4.34,3.93,3B
Pakistan,Asia-Pacific,179.16,0.53,1218.6,0.27,0.01,0.08,0.38,0.02,0.79,0.46,2.28,6
Panama,Latin America,3.8,0.77,8410.77,0.36,0.4,0.19,1.44,0.37,2.79,1.61,0.95,3B
Papua New Guinea,Asia-Pacific,7.17,0.5,1871.21,0.3,0.05,0.36,0.35,0.73,1.91,1.1,0.49,3B
Paraguay,Latin America,6.69,0.67,3557.31,1.11,1.1,0.83,0.97,0.01,4.16,2.4,0.4,3B
Peru,Latin America,29.99,0.73,5684.73,0.5,0.51,0.19,0.67,0.33,2.28,1.32,0.57,6
Philippines,Asia-Pacific,96.71,0.66,2379.44,0.36,0.03,0.09,0.34,0.23,1.1,0.64,2.03,5
Poland,European Union,38.21,0.84,13769.5,0.84,0.04,0.78,2.64,0.05,4.44,2.57,2.14,6
Portugal,European Union,10.6,0.83,23217.3,1.03,0.25,0.09,2.15,0.31,3.88,2.24,2.57,5
Qatar,Middle East/Central Asia,2.05,0.85,99431.5,0.57,0.27,0.15,9.57,0.19,10.8,6.24,8.72,3L
Réunion,Africa,0.86,,,0.14,0.01,0.15,3.27,0.09,3.65,2.11,20.18,5
Romania,European Union,21.76,0.79,9213.94,0.72,0.05,0.33,1.46,0.03,2.71,1.56,1.17,5
Russian Federation,Northern/Eastern Europe,143.17,0.79,13320.2,0.77,0.15,0.67,3.87,0.19,5.69,3.29,0.84,6
Rwanda,Africa,11.46,0.48,628.08,0.43,0.05,0.25,0.07,0.01,0.87,0.5,1.6,5
Saint Kitts and Nevis,Latin America,0.05,0.74,12952.5,0.51,0.18,0.09,3.34,0.81,4.94,2.85,7.92,3L
Saint Lucia,Latin America,0.18,0.73,7737.2,0.38,0.1,0.17,1.56,0.23,2.45,1.41,7.12,3B
Saint Vincent and Grenadines,Latin America,0.11,0.72,6171.48,,,,,,3.11,1.79,2.47,2
Samoa,Asia-Pacific,0.19,0.7,4067.15,0.97,0.16,0.27,0.96,0.42,2.77,1.6,1.44,3B
Sao Tome and Principe,Africa,0.19,0.55,1384.53,0.36,0.02,0.27,0.37,0.47,1.49,0.86,1.7,3B
Saudi Arabia,Middle East/Central Asia,28.29,0.83,23593.8,0.74,0.27,0.27,4.21,0.08,5.61,3.24,11.28,3L
Senegal,Africa,13.73,0.46,1079.27,0.34,0.21,0.21,0.3,0.12,1.21,0.7,1.16,5
Serbia,Northern/Eastern Europe,9.55,0.76,6426.18,0.49,0.02,0.46,1.66,0.02,2.7,1.56,2.15,5
Sierra Leone,Africa,5.98,0.4,499.89,0.47,0.11,0.38,0.07,0.15,1.24,0.71,1,6
Singapore,Asia-Pacific,5.3,0.91,53122.4,0.67,0.24,0.91,5.91,0.22,7.97,4.61,159.47,5
Slovakia,European Union,5.45,0.84,18103.1,0.31,0.08,0.72,2.82,0.03,4.06,2.35,1.5,5
Slovenia,European Union,2.07,0.88,25040.5,0.64,0.17,0.65,4.27,0.05,5.81,3.36,2.48,6
Solomon Islands,Asia-Pacific,0.55,0.5,1647.86,0.47,0.03,0.09,0,0.46,1.29,0.74,0.29,3L
Somalia,Africa,10.2,,,0.16,0.43,0.52,0.07,0.01,1.24,0.71,0.98,5
South Africa,Africa,52.39,0.66,8089.87,0.44,0.11,0.29,2.34,0.08,3.31,1.91,2.87,5
Spain,European Union,46.76,0.87,32008.7,0.78,0.15,0.17,2.22,0.32,3.67,2.12,2.94,6
Sri Lanka,Asia-Pacific,21.1,0.75,2880.03,0.31,0.01,0.16,0.52,0.27,1.32,0.77,3.01,6
Suriname,Latin America,0.54,0.71,8190.7,0.43,0.06,0.52,3.01,0.14,4.25,2.46,0.05,3L
Swaziland,Africa,1.23,0.53,4657.48,0.35,0.41,0.52,0.67,0.01,2.01,1.16,2.3,3L
Sweden,European Union,9.51,0.9,59381.9,1.47,0.27,1.3,3.88,0.09,7.25,4.19,0.68,5
Switzerland,Northern/Eastern Europe,8,0.93,88506.2,0.75,0.22,0.38,4.26,0.07,5.79,3.34,4.44,6
Syrian Arab Republic,Middle East/Central Asia,21.89,0.62,,0.52,0.09,0.04,0.81,0.01,1.51,0.87,2.5,5
Tajikistan,Middle East/Central Asia,8.01,0.62,836.17,0.46,0.14,0.1,0.13,0,0.91,0.52,1.71,5
"Tanzania, United Republic of",Africa,47.78,0.51,765.33,0.44,0.34,0.23,0.17,0.09,1.32,0.76,1.23,6
Thailand,Asia-Pacific,66.78,0.72,5479.29,0.67,0.02,0.24,1.54,0.13,2.66,1.54,2.14,6
Timor-Leste,Asia-Pacific,1.11,0.6,5167.86,0.25,0.07,0.04,0.06,0.02,0.48,0.28,0.27,3B
Togo,Africa,6.64,0.47,580.86,0.34,0.1,0.27,0.31,0.08,1.13,0.65,2.13,6
Tonga,Asia-Pacific,0.1,0.72,4330.9,1.19,0.32,0.14,0.88,0.18,2.7,1.56,1.82,3B
Trinidad and Tobago,Latin America,1.34,0.77,18310.8,0.46,0.19,0.27,6.89,0.11,7.92,4.57,5.07,3B
Tunisia,Africa,10.88,0.72,4305.07,0.76,0.09,0.28,1.11,0.06,2.34,1.35,2.51,5
Turkey,Middle East/Central Asia,74,0.76,10437.7,0.87,0.12,0.34,1.92,0.04,3.33,1.92,2.19,5
Turkmenistan,Middle East/Central Asia,5.17,0.68,5290.14,0.73,0.44,0.08,4.13,0.01,5.47,3.16,1.96,6
Uganda,Africa,36.35,0.48,601.35,0.34,0.15,0.54,0.08,0.11,1.24,0.72,2.12,6
Ukraine,Northern/Eastern Europe,45.53,0.74,3589.63,0.62,0.01,0.16,1.92,0.06,2.84,1.64,1.25,5
United Kingdom,European Union,63.03,0.9,40980.5,0.82,0.28,0.45,3.14,0.08,4.94,2.85,3.76,6
United Arab Emirates,Middle East/Central Asia,9.206,0.83,40817.4,0.8,0.19,0.38,6.37,0.19,7.93,4.58,14.16071429,6
United States of America,North America,317.5,0.91,49725,1.13,0.3,0.67,5.9,0.12,8.22,4.75,2.19,6
Uruguay,Latin America,3.4,0.79,14238.1,0.19,0.98,0.55,0.98,0.05,2.91,1.68,0.28,3B
Uzbekistan,Middle East/Central Asia,28.54,0.67,1560.85,0.62,0.13,0.08,1.41,0,2.32,1.34,2.52,6
"Venezuela, Bolivarian Republic of",Latin America,29.96,0.763846,10237.8,0.45,0.74,0.12,2.13,0.09,3.57,2.06,1.28,5
Viet Nam,Asia-Pacific,90.8,0.66,1532.31,0.5,0.01,0.19,0.79,0.05,1.65,0.95,1.66,6
Wallis and Futuna Islands,Asia-Pacific,0.01,,,,,,,,2.07,1.19,1.37,3T
Yemen,Middle East/Central Asia,23.85,0.5,1302.3,0.34,0.14,0.04,0.42,0.04,1.03,0.59,2.06,5
Zambia,Africa,14.08,0.58,1740.64,0.19,0.18,0.33,0.24,0.01,0.99,0.57,0.44,6
Zimbabwe,Africa,13.72,0.49,865.91,0.2,0.32,0.29,0.53,0.01,1.37,0.79,2.2,6